[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_filmworkstower_17/base3/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_gunstore_3/base1/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_filmworkstower_5/floor11/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_courtyardofficetower_6/floor17/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_casino_2/floor8/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentialsurvivor_0/ground/oak_crate
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_casino_2/floor8/metelshelvesfour
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_filmworkstower_5/floor11/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_gunstore_3/base1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_courtyardofficetower_6/floor17/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_flatmedium_0/top/spruce_crate
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_casino_2/base9/metalshelvesfive
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_policeoffice1/base2/large_shelves_fill
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentialb/floor1/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hardwarestorecedamaged/ground/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_taigaresidence_0/floor3/stripped_oak_bedside_cabinet
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_taigaresidence_0/floor6/stripped_oak_bedside_cabinet
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hotelb/floor3/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_policeoffice1/base1/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_office3c/top/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentiale_0/ground/stripped_dark_oak_bedside_cabinet
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:entity/t1_ammunitions
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hoteld/floor1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_policestation_1/base1/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_filmworkstower_8/base2/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_oasiscondo_0/floor2/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_gasstation_1/ground/red_kitchen_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_apartmentsmallc/top/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/street_highrise_office_all/police/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_policeapartment_2/top/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hotela/floor2/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_gasstation/ground/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_thering_6/floor20/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_thering_16/floor13/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/scattered_cabin_2/floor1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentiald/floor2/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_oasiscondo_1/floor2/oak_drawers
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_thering_16/floor13/birch_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_convenientstore_2/ground/metalshelvesone
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_gunstore_1/base1/metal_shelvels_two
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_thering_8/floor5/birch_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_policeoffice1/floor3/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_policeapartment_2/top/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_oasiscondo_0/floor2/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentiala/floor1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hotela/floor2/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentialb/floor1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_terraceplaza_8/floor4/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_cabin3_1/floor1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_planecrash1_4/floor1/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_taigaresidence_0/floor5/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_thering_16/floor13/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_filmworkstower_5/floor11/magazine_boxes
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentialsurvivor_1/base1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_office1b/base1/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentiala/floor1/dark_oak_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_officebank/top/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_timbertower_0/ground/spruce_crate
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_residentialsurvivor_1/ground/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_hoteld/floor1/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_residentiald/floor2/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_office2a/top/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_casino_2/base9/iron_locker
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:entity/t3_ammunitions
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_policeapartment_0/ground/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_office1b/base1/metalshelvesone
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_policestation_1/base1/metelshelvesfour
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_planecrash1_4/floor1/dead_body
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/multi_thering_6/floor18/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_office3b/top/safe
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_gasstation/ground/yellow_kitchen_drawer
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/scattered_cabin_1/floor1/lootr_chest
[03:56:51] [Worker-Main-14/ERROR] [ne.mi.co.ForgeHooks/]: Couldn't parse element loot_tables:deceasedcraft:chests/building_policeoffice1/base2/lootr_chest
